la-maintained-school-eng	school-type	foundation-trust	school-federation
100579	1		
100580	1		
100581	1		
100582	1		Jessop Stockwell Federation
100583	1		
100584	1		
100585	1		
100586	1		
100587	1		
100588	1		Federation of Vauxhall and Wyvil Primary Schools
100589	1		
100590	1		
100591	5		Federation of Vauxhall and Wyvil Primary Schools
100592	1		
100593	1		
100594	1		
100595	1		
100596	1		
100597	1		
100598	1		
100599	1		
100600	1		
100601	1		
100602	5		
100603	1		
100604	1		
100605	1		
100606	1		
100607	1		
100608	1		
100609	2		
100610	2		
100611	2		
100612	2		
100613	2		
100614	2		
100615	2		
100616	2		
100617	2		
100618	2		
100619	2		
100620	2		
100621	2		
100622	2		
100623	2		
100624	1		
100625	1		
100626	5		
100627	2		
100628	2		
100629	2		
100630	2		
100631	2		
100632	2		
100633	2		
100634	5		
100635	5		
100636	2		
100637	2		
100638	2		
100639	5		
100640	2		
100641	2		
100642	5		
100643	12		
100654	7		
100655	7		
100656	7		
100657	7		
100658	7		
100659	7		
100660	12		
100661	12		
100662	7		
100663	7		
100664	7		
100665	7		
100666	7		
100667	15		
100668	15		
100669	14		
100670	14		
100671	1		
100672	1		The King Alfred Federation
100673	1		
100674	1		
100675	1		
100676	1		
100677	1		
100678	1		
100679	1		
100680	1		
100681	1		The King Alfred Federation
100682	1		
100683	1		Forster Park and Rangefield Federation
100684	1		The Eliot Bank and Gordonbrock Primary Schools Federation
100685	1		Grinling Gibbons and Lucas Vale Federation
100686	1		Fairlawn and Haseltine Federation
100687	1		The Brindishe Federation
100688	1		
100689	1		
100690	1		
100691	1		
100692	1		
100693	1		The Brindishe Federation
100694	1		
100695	1		Grinling Gibbons and Lucas Vale Federation
100696	1		
100697	1		
100698	1		
100699	1		Forster Park and Rangefield Federation
100700	1		
100701	1		
100702	1		
100703	1		
100704	1		
100705	1		
100706	1		
100707	1		
100708	1		
100709	1		
100710	1		Fairlawn and Haseltine Federation
100711	1		The Eliot Bank and Gordonbrock Primary Schools Federation
100712	1		
100713	1		
100714	1		
100715	1		
100716	1		
100717	1		The Brindishe Federation
100718	1		
100719	2		
100720	2		
100721	2		
100722	2		
100723	2		
100724	2		
100725	2		
100726	2		
100727	2		
100728	2		
100729	2		
100730	2		
100731	2		
100732	2		
100733	2		
100734	2		
100735	2		
100736	2		
100737	2		
100738	2		
100739	2		
100740	1		
100741	1		
100742	1		
100743	1		
100744	1		
100745	1		
100746	1		
100747	5		Leatherseller's Federation of Schools
100748	2		
100749	2		
100750	2		Leatherseller's Federation of Schools
100751	2		
100752	2		
100753	5		
100760	12	*Co-op Brent Knoll and Watergate Co-operative Trust	
100761	7		
100762	7		
100763	7		
100764	7		
100765	7		
100766	12	*Co-op Brent Knoll and Watergate Co-operative Trust	
100767	15		
100768	15		
100769	15		
100770	15		
100771	15		
100772	14		
100773	14		
100774	1		
100775	1		
100776	1		
100777	1		
100778	1		
100779	1		
100780	1		
100781	5		
100782	1		
100783	1		
100784	1		
100785	1		
100786	1		
100787	1		
100788	1		
100789	1		
100790	1		
100791	1		
100792	1		
100793	1		
100794	1		
100795	1		
100796	1		
100797	1		
100798	1		
100799	1		
100800	1		
100801	1		
100802	1		
100803	1		
100804	1		
100805	1		
100806	1		
100807	1		
100808	1		
100809	1		
100810	1		
100811	1		The Bridges Federation
100812	1		
100813	1		The Bridges Federation
100814	1		
100815	1		
100816	5		
100817	1		
100818	1		
100819	1		
100820	1		
100821	1		
100822	2		
100823	2		
100824	2		
100825	2		The Federation of St James the Great and St John's
100826	2		
100827	2		
100828	2		
100829	2		
100830	2		
100831	2		
100832	2		
100833	2		
100834	2		
100835	2		
100836	2		
100837	2		
100838	2		
100839	2		
100840	2		
100841	2		The Federation of St James the Great and St John's
100842	1		
100843	1		
100844	5		
100845	1		
100846	1		
100847	1		
100848	1		
100849	2		
100850	2		
100851	2		
100852	2		
100853	2		St Joseph's Camberwell Catholic Schools' Federation
100854	2		St Joseph's Camberwell Catholic Schools' Federation
100855	5		
100856	5		
100857	2		
100858	2		
100859	2		
100860	2		
100872	7		
100873	7		
100874	7		
100875	7		
100876	7		
100877	7		
100878	7		
100879	7		
100880	7		
100881	7		
100882	15		
100883	15		
100884	15		
100885	15		
100886	15		
100887	15		
100888	15		
100889	14		
100890	1		
100891	1		
100892	1		
100893	1		
100894	1		
100895	1		
100896	1		
100897	1		
100898	1		
100899	1		
100900	1		
100901	1		
100902	1		
100903	1		
100904	1		
100905	1		
100906	1		
100907	1		
100908	1		
100909	1		
100910	1		
