school-eng	name	address	minimum-age	maximum-age	school-capacity	headteacher	school-type	start-date	end-date
117132	Little Green Junior School	200000939818	7	11	360	Mrs Janice Tearle	Local authority maintained		
117133	Malvern Way Infant and Nursery School	200000939830	3	7	270	Mrs Emma Cole	Local authority maintained		
117134	Tannery Drift School	100081259860	3	9	229	Mrs Anna Greetham	Local authority maintained		
117135	Bernards Heath Infant and Nursery School	100081150640	3	7	240	Mrs Hannah Rimmer	Local authority maintained		
117136	Camp Primary and Nursery School	200003636631	3	11	210	Mrs Sharon Barton	Local authority maintained		
117137	Fleetville Junior School	200003633155	7	11	403	Mr J Loukes	Local authority maintained	1997-02-26	2012-05-31
117138	Fleetville Infant and Nursery School	100081150520	3	7	255	Mrs Androulla Peek	Local authority maintained	1996-06-05	2012-05-31
117139	Garden Fields Junior Mixed and Infant School	200003637247	5	11	450	Mr Chris Jukes	Local authority maintained		
117140	St Peter's School	100081149600	3	11	210	Mrs Gillie Young	Local authority maintained		
117141	Aboyne Lodge Junior Mixed and Infant School	100081153583	3	11	210	Mrs Amanda Abley	Local authority maintained		
117142	Mandeville Primary School	100081149771	3	11	270	Ms Amanda Godfrey	Local authority maintained		2012-12-31
117143	Bernards Heath Junior School	200003641225	7	11	360	Mrs Sian Kilpatrick	Local authority maintained		
117144	St Paul's Walden Primary School	100081255746	4	11	119	Louise Cerqua	Local authority maintained		
117145	Colney Heath Junior Mixed Infant and Nursery School	100081154433	4	11	240	Mr Pete Rose	Local authority maintained		
117146	London Colney Primary & Nursery School	100081151644	3	11	206	Mrs Sarah Joyce	Local authority maintained		
117147	Sandon Junior Mixed and Infant School	100081260449	4	11	101	Mrs Margaret Gilbert	Local authority maintained		
117148	Sandridge School	100081154936	4	11	236	Miss Lisa Roberts	Local authority maintained		
117149	Fawbert and Barnard Infants' School	10033099180	3	7	180	Ms Angela Euesden	Local authority maintained		
117150	Shenley Primary School	10034169247	3	11	315	Ms Katy Longley	Local authority maintained		
117151	Letchmore Infants' and Nursery School	10070250749	3	7	300	Mrs Roma Marshall	Local authority maintained		
117152	Fairlands Primary School and Nursery	10070250538	3	11	720	Mr Robert Staples	Local authority maintained		
117153	Therfield First School	100081260343	5	9	75	Mrs Tara McGovern	Local authority maintained		
117154	Walkern Primary School	100081254211	4	11	140	Mr Jonty Hall	Local authority maintained		
117155	The Orchard Primary School	100081287392	3	11	410	Mr Paul Sutton	Local authority maintained		
117156	Central Primary School	200000930454	3	11	384	Mr John Mynott	Local authority maintained		
117157	Bushey and Oxhey Infant School	200000932394	5	7	180	Mrs Mary Ann Cooper	Local authority maintained		
117158	Chater Junior School	100081284591	7	11	240	Mr P McEntee	Local authority maintained		
117159	Chater Infant School	100081284537	3	7	212	Amrit Bal-Richards	Local authority maintained		
117160	Field Junior School	100081285121	7	11	276	Mrs Julie Henley-Washford	Local authority maintained		
117161	Watford Field School (Infant & Nursery)	200000931009	3	7	270	Mrs Angela Butcher	Local authority maintained		
117162	Parkgate Junior School	100081286897	7	11	240	Mrs Sarah Pipe	Local authority maintained		
117163	Parkgate Infants' and Nursery School	100081286900	3	7	200	Miss A E Lawrence	Local authority maintained		
117164	Garston Infants' School	10002004088	5	7	90	Mrs J Sexton	Local authority maintained		2005-08-31
117165	Knutsford School	100081286898	3	11	420	Miss Eileen Anderson	Local authority maintained		
117166	St Meryl School	100081283991	3	11	210	Mrs Michele Geddes	Local authority maintained		
117167	Cassiobury Junior School	200000931e3	7	11	360	Miss Jenny Sherry	Local authority maintained		
117168	Kingsway Junior School	100081287656	7	11	270	Mr Darren Armoogum	Local authority maintained		
117169	Warren Dell Primary School	200000936323	2	11	210	Mrs Jenny Morley	Local authority maintained		
117170	Oxhey Wood Primary School	200000942752	3	11	480	Mrs Jenny Morley	Local authority maintained		
117171	Watton-at-Stone Primary and Nursery School	10033099694	2	11	292	Mrs Zoe Hussain	Local authority maintained		
117172	Peartree Primary School	100081157150	5	11	210	Miss Clare Herbert	Local authority maintained		
117173	Blackthorn Junior School	100081157148	7	11		Mrs S Jennings	Local authority maintained		2001-12-31
117174	Templewood Primary School	200003858193	3	11	251	Miss Angharad Morris	Local authority maintained		
117175	Holwell Primary School	100081157153	5	11	420	Mr Joe McIntyre	Local authority maintained		
117176	Widford School	10033099705	4	11	56	Mrs Diane Penn	Local authority maintained		
117177	Wymondley Junior Mixed and Infant School	100081255396	4	11	105	Mrs Alison Emmerson	Local authority maintained		
117178	Tanners Wood Junior Mixed and Infant School	100081291037	3	11	420	Mrs Parv Qureshi	Local authority maintained		
117179	Havers Infant School		3	7	180	Mrs J J Evans	Local authority maintained		2005-12-31
117180	Hurst Drive Primary School	148006264	4	11	420	Mr Chris O'Connor	Local authority maintained		
117181	Woodlands Primary School	10034169918	3	11	240	Mrs PJ Woods	Local authority maintained		
117182	Summerswood Primary School	10034169478	3	11	486	Miss Sarah Kneller	Local authority maintained		
