school-eng	name	address	minimum-age	maximum-age	school-capacity	headteacher	school-type	start-date	end-date
117346	Richard Whittington Primary School	100081159710	3	11	360	Mr A K Kern	Local authority maintained		
117347	Mount Pleasant Lane Junior Mixed and Infant School and Nursery	200003637817	3	11	315	Mr John Dibdin	Local authority maintained		
117348	Watchlytes Junior Mixed Infant and Nursery School	100081156989	3	11	210	Mr Andrew Farrugia	Local authority maintained		
117349	Brockswood Primary School	10002010892	3	11	210	Mrs Gayle Voigt	Local authority maintained		
117350	Lannock Primary School	10070038666	3	11	210	Mrs Carol Pratt	Local authority maintained		2009-08-31
117351	Ryelands Primary School	148037591	5	11	180	Miss Fay Holness	Local authority maintained		2007-08-31
117352	Ashtree Primary School and Nursery	10070251956	3	11	460	Elizabeth Lewis	Local authority maintained		
117353	Sheredes Primary School	148024825	3	11	480	Mrs Mary Childs	Local authority maintained		
117354	Radburn Primary School	100081258085	3	11	210	Mrs Wendy Dellar	Local authority maintained		2012-08-31
117355	Applecroft School	100081157770	3	11	420	Mrs Vicky Parsey	Local authority maintained		2012-02-29
117356	Ley Park Primary School	148023165	3	11	419	Mr Julian Thomas	Local authority maintained		2008-08-31
117357	Five Oaks Primary and Nursery School	100081151456	3	11	420	Mr A Boxer	Local authority maintained		2004-08-31
117358	Wood End School	100081155455	4	11	450	Mr Richard Boulton	Local authority maintained		
117359	Eastbrook Primary School	100081177882	5	11	210	Mr Geoff Allen	Local authority maintained		2008-08-31
117360	Meriden Primary School	200000931005	3	11	330	Mrs R Mattison	Local authority maintained		2005-08-31
117361	Bengeo Primary School	10033098946	3	11	480	Mrs Julie Starkiss	Local authority maintained		
117362	Stream Woods Junior Mixed Infant and Nursery School	200003858850	3	11	286	Mrs Beverley Garwood	Local authority maintained		2007-08-31
117363	Morgans Primary School & Nursery	10033090551	3	11	500	Mrs Alis Rocca	Local authority maintained		
117364	The Leys Primary and Nursery School	100081248005	3	11	513	Ms Leigh Humphries	Local authority maintained		
117365	Belswains Primary School	100081183178	3	11	270	Mr Michael Fearnhead	Local authority maintained		
117366	Bonneygrove Primary School	148001200	3	11	413	Mrs Anne Gorolini	Local authority maintained		
117367	Burleigh Primary School	148009462	4	11	420	Mr Nick Norman	Local authority maintained		
117368	Hobbs Hill Wood Primary School	100081182844	3	11	485	Mr Richard Haynes	Local authority maintained		
117369	Cranborne Primary School	10013904587	3	11	420	Mr Charles Alan Cocker	Local authority maintained		
117370	Ladbrooke Junior Mixed and Infant School	10034171244	3	11	210	Miss T Webster	Local authority maintained		
117371	Oakmere Primary School	10034170475	3	11	373	Mrs Elizabeth Haynes	Local authority maintained		
117372	Sunny Bank Junior School	10013904568	7	11		Mr K Hooper	Local authority maintained		1999-08-31
117373	Sunny Bank Infants' School	10013904568	3	7		Mr  Hooper	Local authority maintained		1999-08-31
117374	Nascot Wood Infant and Nursery School	200000930370	3	7	180	Ms Pam Scragg	Local authority maintained		
117375	The Pines Junior Mixed and Infant School	100081249929	4	11	119	Mr M J K Marshall	Local authority maintained		2003-08-31
117376	Hartsfield Junior Mixed and Infant School	10070037095	4	11	440	Mrs Philippa Smith	Local authority maintained		
117377	Holtsmere End Infant and Nursery School	100081177954	3	7	180	Mrs Nicola O'Connell	Local authority maintained		
117378	Commonswood Primary & Nursery School	100081157326	4	11	472	Mrs Gillian Seymour	Local authority maintained		
117379	Millbrook School	148007270	4	11	210	Mrs Ruth Bamlett	Local authority maintained		
117380	Manor Fields Primary School	100081159895	3	11	460	Ms Tina Jarman	Local authority maintained		
117381	Bellgate Primary School	200004058270	4	11	326	Mr Andy Whelan	Local authority maintained		2008-08-31
117382	Aldbury Church of England Primary School	100081181098	4	11	105	Mrs Natasha Chiswell	Local authority maintained		
117383	St John's Church of England Infant and Nursery School	10034169302	3	7	180	Mrs Alice Aharon	Local authority maintained		
117384	St Mary's Infants' School	10023326606	5	7	180	Claire Gunn	Local authority maintained		
117385	St Mary's Junior Mixed School	100081259519	7	11	240	Mrs Patricia Jenkins	Local authority maintained		
117386	Barley Church of England Voluntary Controlled First School	100081260046	5	9	75	Margaret Davies-Mckeon	Local authority maintained		
117387	Bayford Church of England Voluntary Controlled Primary School	100081250122	3	11	115	Mr Jonathan Preston	Local authority maintained		
117388	Tonwell St Mary's Church of England Primary School	100081248677	3	11	64	Mrs Sarah Bridgman	Local authority maintained		
117389	Benington Church of England Primary School	10033097652	4	11	112	Mrs J Stevens	Local authority maintained		
117390	Layston Church of England First School	10033091833	5	9	150	Mrs Myra Bloomfield	Local authority maintained		
117391	Ashfield Junior School	10034170820	7	11	240	Mrs Carolyn Dalziel	Local authority maintained		
117392	Codicote Church of England Primary School	100081255748	3	11	270	Mrs Liz Pollard	Local authority maintained		
117393	Essendon CofE (VC) Primary School	100081158037	3	11	105	Mrs Charlotte Tudway	Local authority maintained		
117394	Furneux Pelham Church of England School	10034620721	4	11	140	Mrs Brigid Dyson	Local authority maintained		
117395	Graveley Primary School	100081255397	4	11	105	Mrs Lisa Massey	Local authority maintained		
117396	Ponsbourne St Mary's Church of England Primary School	100081250117	4	11	96	Mrs Dorothy Marlow	Local authority maintained		
117397	Hertford St Andrew CofE Primary School	10033098550	3	11	180	Mrs Lyn Stark	Local authority maintained		
117398	High Wych Church of England Primary School	10034620735	3	11	210	Mrs Mandy West	Local authority maintained		
117399	St Paul's Voluntary Controlled Church of England Infants' School	148027916	5	7		Mrs Ca Eames	Local authority maintained		2002-12-31
117400	Wormley Primary School	148023165	3	11	480	Mrs Tracy Gaiteri	Local authority maintained		
117401	Ickleford Primary School	10070042066	4	11	210	Mrs S Dury	Local authority maintained		
117402	Little Munden Church of England Voluntary Controlled Primary School	10034515308	3	11	120	Mrs Marina Breeze	Local authority maintained		
117403	Preston Primary School	10070036940	4	11	105	Miss Vicky Lunniss	Local authority maintained		
117404	Sarratt Church of England Primary School	200000940071	4	11	182	Mrs Pippa Bremner	Local authority maintained		
117405	Spellbrook Primary School	10033092955	3	11	120	Mrs Gill Vise	Local authority maintained		
117406	Roger De Clare First CofE School	10033099253	3	9	300	Mrs L Woods	Local authority maintained		
117407	St Andrew's Church of England Voluntary Controlled Primary School	10033099302	3	11	210	Mrs Shirley Arnold	Local authority maintained		
117408	Thundridge Church of England Primary School	100081248682	3	11	105	Paula Greatrex	Local authority maintained		
117409	St Mary's Voluntary Controlled Church of England Junior School	100081248403	7	11	240	Mr Andy Cosslett	Local authority maintained		
117410	St Catherine's Church of England Primary School	10033099592	3	11	450	Hazel Wing	Local authority maintained		
117411	Musley Infant School	100081248691	5	7		Mrs P A Staras	Local authority maintained		2003-08-31
117412	Wareside Church of England Primary School	10033100608	2	11	56	Mrs Wendy-May Foster	Local authority maintained		
117413	Weston Primary School	10070041506	3	11	152	Mr Geoff Holmes	Local authority maintained		
117414	Potten End CofE Primary School	200004058018	3	11	240	Mr Andrew Morris	Local authority maintained		
117415	Dewhurst St Mary CofE Primary School	148037495	5	11	210	Mrs Susan Wilcox	Local authority maintained		
117416	Leverstock Green Church of England Primary School	100081177297	3	11	240	Mrs Victoria Burgess	Local authority maintained		
117417	St Paul's Church of England Primary School, Langleybury	10001115540	3	11	236	Mrs Sarah Winter	Local authority maintained		
117418	Nash Mills Church of England Primary School	200004051021	3	11	240	Rosemary Washford Mower	Local authority maintained		
117419	Albury Church of England Voluntary Aided Primary School	100081248386	2	11	90	Mr James Howard	Local authority maintained		
117420	Ardeley St Lawrence Church of England Voluntary Aided Primary School	10034620697	3	11	90	Mrs Jenny Dingley	Local authority maintained		
117421	Aston St Mary's Church of England Aided Primary School	10033097607	4	11	132	Mrs Julie Winwood	Local authority maintained		
117422	Barkway VA Church of England First School	10070037690	5	9	57	Sharon Brown	Local authority maintained		
117423	Victoria Church of England Infant and Nursery School	200004050529	3	7	210	Mrs Zoe Kernohan-Neely	Local authority maintained		
117424	St Mary's CofE Primary School, Northchurch	200004059490	3	11	240	Miss Vanessa Hunt	Local authority maintained		
117425	St Joseph's Catholic Primary School	10033097867	3	11	300	Mr Peter Coldwell	Local authority maintained		
117426	St Michael's Church of England Primary School	100081159527	3	11	210	Mrs Lisa Dale	Local authority maintained		
117427	St Clement's Church of England Voluntary Aided Junior School	148018858	7	11	180	Miss Sam Sweetman	Local authority maintained		2010-08-31
117428	Holy Trinity Church of England Primary School	148007251	4	11	208	Miss Sarah Chaloner	Local authority maintained		
117429	St Joseph's Catholic Primary School	148014635	3	11	210	Mr Tony Gorton	Local authority maintained		
117430	All Saints Church of England Voluntary Aided Primary School, Datchworth	10033098470	5	11	210	Mr S Whiteland	Local authority maintained		
117431	St Nicholas Elstree Church of England VA Primary School	10034169832	3	11	210	Kate Johnston-Grant	Local authority maintained		
117432	St John the Baptist Voluntary Aided Church of England Primary School	10033098484	4	11	210	Miss Lydia Hunt	Local authority maintained		
117433	Great Gaddesden Church of England Primary School	10002010096	4	11	110	Mrs Nikki Comer	Local authority maintained		
117434	St Nicholas CofE VA Primary School	200003641487	4	11	154	Ms Rizelle Crouch	Local authority maintained		
117435	St John's Voluntary Aided Church of England Primary School, Lemsford	200003858679	4	11	105	Mrs Mandy Evans	Local authority maintained		
117436	St Joseph's Catholic Primary School	10033090427	3	11	210	Mr Ian Kendal	Local authority maintained		
117437	Broxbourne CofE Primary School	148023714	3	11	210	Mr Paul Miller	Local authority maintained		
117438	St Augustine Roman Catholic Primary School	148029214	3	11	210	Mrs Gillian Napier	Local authority maintained		
117439	Hormead Church of England (VA) First School	10034516141	3	9	90	Mr Philip Asher	Local authority maintained		
117440	St Ippolyts Church of England Aided Primary School	100081255398	5	11	140	Rachel Peddie	Local authority maintained		
117441	St Paul's Church of England Voluntary Aided Primary School, Chipperfield	100081290726	3	11	240	Miss Caroline Moore	Local authority maintained		
117442	Norton St Nicholas CofE (VA) Primary School	100081257404	3	11	210	Mr Stephen Cowdery	Local authority maintained		
117443	Little Gaddesden Church of England Voluntary Aided Primary School	100081183443	4	11	104	Mrs Charis Geoghegan	Local authority maintained		
117444	St Andrew's CofE Primary School and Nursery	10033099099	3	11	236	Mrs Judy King	Local authority maintained		
117445	Offley Endowed Primary School	10070043591	4	11	140	Mrs Anne Peck	Local authority maintained		
117446	Cockernhoe Endowed CofE Primary School	10070040548	3	11	105	Mr Simon Philby	Local authority maintained		
117447	St Mary's Church of England Primary School, Rickmansworth	200000939149	3	11	210	Mr Aaron Wanford	Local authority maintained		
117448	St Peter's Church of England Voluntary Aided Primary School	100081288934	4	11	210	Ms Philippa Golding	Local authority maintained		
117449	The Abbey Church of England Voluntary Aided Primary School, St Albans	200003631681	4	11	210	Miss Emma Fenn	Local authority maintained		
117450	St Alban and St Stephen Roman Catholic Infant and Nursery School	200003634307	3	7	180	Mrs Bernadette Dempsey	Local authority maintained		
117451	St Michael's Church of England Voluntary Aided Primary School, St Albans	10001070694	5	11	149	Mrs Alison Rafferty	Local authority maintained		
117452	Park Street Church of England Voluntary Aided Primary School	200003634625	3	11	210	Mrs Tina Facer	Local authority maintained		
117453	Puller Memorial, Church of England, Voluntary Aided Primary School	10034621513	3	11	105	Mrs Tracy Keddie	Local authority maintained		
117454	St Thomas of Canterbury Roman Catholic Primary School	10033099242	3	11	122	Mrs Michelle Keating	Local authority maintained		
117455	Stapleford Primary School		2	11	105	Mr James Shillito	Local authority maintained		
117456	St Nicholas CofE (VA) Primary School and Nursery	10070251106	3	11	210	Mrs Sarah Stevens	Local authority maintained		
117457	Tewin Cowper Church of England Voluntary Aided Primary School	100081155960	4	11	120	Mrs Alison Simpson	Local authority maintained		
117458	Bishop Wood Church of England Junior School, Tring	100081181096	7	11	240	Mrs L Hardman	Local authority maintained		
117459	Long Marston VA Church of England Primary School	200004059956	5	11	140	Mrs Clare South	Local authority maintained		
117460	St John's CofE Primary School	200003856924	3	11	235	Mr R A Price	Local authority maintained		
117461	St Michael's Woolmer Green CofE VA Primary School	200003859054	4	11	190	Mr Brendan Mallon	Local authority maintained		
117462	St Helen's Church of England Primary School	100081154640	4	11	420	Mr Jamie Brown	Local authority maintained		
117463	St Bartholomew's Church of England Voluntary Aided Primary School, Wigginton	200004058043	4	11	105	Mrs Sally Roycroft	Local authority maintained		
117464	Our Lady Roman Catholic Primary School	200003858396	4	11	243	Catherine Corr	Local authority maintained		
117465	St Joseph Catholic Primary School	200000935688	3	11	240	Mrs Linda Payne	Local authority maintained		
117466	St Teresa Roman Catholic Primary School	10034169384	3	11	210	Ms Teresa McBride	Local authority maintained		
117467	St Andrew's Church of England Voluntary Aided Primary School, Hitchin	200001853409	4	11	210	Ms Deborah Fenn	Local authority maintained		
117468	St Cuthbert Mayne Catholic Junior School	200004050811	7	11	240	Mrs Bernadette Quinn	Local authority maintained		
117469	St Philip Howard Catholic Primary School	100081151428	4	11	385	Mrs Mairead Waugh	Local authority maintained		
117470	St Adrian Roman Catholic Primary School	200003641157	3	11	210	Mrs Yvonne Hawkes	Local authority maintained		
117471	Saint Albert the Great Catholic Primary School	200004057263	3	11	210	Mrs Kathryn Little	Local authority maintained		
117472	All Saints Church of England Primary School and Nursery, Bishop's Stortford	100081160238	3	11	210	Miss Heidi Otranen	Local authority maintained		
117473	Christ Church CofE (VA) Primary School and Nursery, Ware	100081248707	3	11	315	Mrs Ania Vaughan	Local authority maintained		
117474	St Margaret Clitherow Roman Catholic Primary School	10070251058	3	11	210	Mr Jonathan White	Local authority maintained		
117475	St John Catholic Primary School	200000938388	4	11	210	Mr Peter Sweeney	Local authority maintained		
117476	Our Lady Roman Catholic Primary School	10070041860	5	11	210	Mrs Susan Brown	Local authority maintained		2012-06-30
117477	St Thomas More Roman Catholic Primary School	100081258156	3	11	210	Mrs Mary Hewitson	Local authority maintained		2012-06-30
117478	St Dominic Catholic Primary School	200003641469	3	11	300	Mrs Elizabeth O'brien	Local authority maintained		
117479	St Thomas More Roman Catholic Voluntary Aided Primary School	100081184207	3	11	210	Miss Isabel Cerasale	Local authority maintained		
117480	St John Fisher Roman Catholic Primary School	200003636333	4	11	210	Mrs Laura Flitton	Local authority maintained		
117481	The Holy Family Catholic Primary School	200002748205	3	11	210	Ms Ginnette Stevens	Local authority maintained		
117482	Countess Anne Voluntary Aided Church of England Primary School, Hatfield	200003854751	5	11	206	Mr David Lodge	Local authority maintained		2013-09-30
117483	St Cross Catholic Primary School	148027880	5	11	210	Mrs Kathryn Hall	Local authority maintained		
117484	St Rose's Catholic Infants School	100081165606	3	7	180	Mrs Rebecca Tregear	Local authority maintained		
117485	Divine Saviour Roman Catholic Primary School	200000941579	3	11	210	Mr Stephen Wheatley	Local authority maintained		
117486	Holy Rood Catholic Junior School	10008852895	7	11	324	Ms E Ward	Local authority maintained		2006-08-31
117487	St John Roman Catholic Primary School	10013802890	3	11	210	Ms Alex Hanou	Local authority maintained		2012-06-30
117488	Sacred Heart Catholic Primary School and Nursery	10034170803	3	11	280	Mrs Carolyn Hatch	Local authority maintained		
117489	Saint Bernadette Catholic Primary School	200001849551	4	11	210	Mrs Elisabeth Barton	Local authority maintained		
117490	Welwyn St Mary's Church of England Voluntary Aided Primary School	100081156257	4	11	432	Mrs Mary Westley	Local authority maintained		
117491	Saint Alban and St Stephen Catholic Junior School	200003634307	7	11	240	Mr C D Soyka	Local authority maintained		
117492	St Paul's Catholic Primary School	148004106	3	11	210	Mrs Yvonne Devereux	Local authority maintained		
117493	Sacred Heart Catholic Primary School	10034170803	4	11	210	Mrs Michelle Fusi	Local authority maintained		
117494	Holy Rood RC Infants' School	10008852895	3	7	120	Mrs M T Woodcock	Local authority maintained		2006-08-31
117495	St Anthony's Catholic Primary School	200000930232	3	11	377	Mrs Pauline Wilson	Local authority maintained		
117496	Pope Paul Catholic Primary School	10034170483	4	11	210	Mrs Liz Heymoz	Local authority maintained		
117497	St Mary's Church of England Primary School	100081158100	4	11	210	Mrs Vicky Humbles	Local authority maintained		
117498	Saint Vincent de Paul Catholic Primary School	10033235796	4	11	420	Peter Keane	Local authority maintained		
117499	The Priory School	10070040037	11	18	1060	Mr Geraint Edwards	Local authority maintained		
117500	The Hemel Hempstead School	200004050853	11	18	1207	Mr Patrick Harty	Local authority maintained		
117501	Richard Hale School	10033098675	11	18	1107	Mr Stephen Neate	Local authority maintained		2013-06-30
117502	Hitchin Boys' School	100081256237	11	18	1015	Mr Martin Brown	Local authority maintained		2012-12-31
117503	Hitchin Girls' School	100081255789	11	18	1029	Mrs Frances Manning	Local authority maintained		2011-08-16
117504	Fearnhill School	10070042022	11	18	1055	Ms Elizabeth Ellis	Local authority maintained		
117505	Verulam School	200001050871	11	18	1145	Mr David Kellaway	Local authority maintained		2011-07-31
117506	Presdales School	100081249262	11	18	1043	Mrs Janine Robinson	Local authority maintained		2012-03-31
117507	Stanborough School	100081157514	11	18	1124	Mr Peter J Brown	Local authority maintained		2012-01-31
117508	Langleybury School	10001115668	11	18			Local authority maintained		1996-09-01
117509	The Knights Templar School	100081259526	11	18	1336	Mr Andrew Pickering	Local authority maintained		2011-03-31
117510	The Hillside School	10034169520	13	18		Mr T E Westrip	Local authority maintained		2000-08-31
117511	Sir John Lawes School	100081155505	11	18	1231	Ms Claire Robins	Local authority maintained		2011-07-31
117512	Adeyfield School	100081177145	11	18	870	Mr Scott Martin	Local authority maintained		
117513	Norton School	10023318938	11	18		Ms  Roberts	Local authority maintained		2002-08-31
117514	Beaumont School	100081154239	11	18	1277	Mrs Elizabeth Hitch	Local authority maintained		2012-06-30
117515	Barclay School	100081339559	11	18	1181	Ms Jacqui O'Connor	Local authority maintained		
117516	Hawksmoor School	10013904885	13	18		Mr P G Tompkins	Local authority maintained		2000-08-31
117517	The Heathcote School	100081254531	11	18	925	Mr Edward Joseph Gaynor	Local authority maintained		2012-08-31
117518	Barnwell School	100081254530	11	18	1987	Mr A Fitzpatrick	Local authority maintained		
117519	Simon Balle School	100081250119	11	18	1053	Mrs Alison Saunders	Local authority maintained		2013-10-31
117520	Roundwood Park School	100081155430	11	18	1179	Mr Alan Henshall	Local authority maintained		2011-07-31
117521	Lyndhurst Middle School	10034171266	9	13		Mr M Howell	Local authority maintained		2001-08-31
117522	Francis Combe School and Community College	10023340241	11	18	1330	Miss Nicky Williams	Local authority maintained		2009-08-31
117523	Longdean School	100081182673	11	18	1405	Mr Rhodri Bryant	Local authority maintained		2011-07-31
117524	St Albans Girls' School	100081153684	11	18	1254	Mrs Margaret Chapman	Local authority maintained		2011-08-31
117525	Sir Frederic Osborn School	100081156597	11	18	1226	Mr Jed Whelan	Local authority maintained		
117526	Kings Langley School	200004060609	11	18	1143	Mr Gary Lewis	Local authority maintained		2012-11-30
117527	Bishop's Hatfield Girls' School	100081151353	11	18	759	Ms Theodora Nickson	Local authority maintained		2011-12-31
117528	The Cavendish School	100081165765	11	18	1235	Mrs Sarah Lansley	Local authority maintained		
117529	The Broxbourne School	148023635	11	18	1270	Mr M F Titchmarsh	Local authority maintained		2010-12-31
117530	The Nobel School	10070252009	11	18	1247	Mr Martyn Henson	Local authority maintained		
117531	Turnford School	148017396	11	18	1088	Mrs Joanne Gant	Local authority maintained		2015-08-31
117532	Westfield Community Technology College	100081285304	11	18	1217	Ms Emma Aylesbury	Local authority maintained		2013-08-31
117533	Collenswood School	10070251862	11	18	985	Dr Jenny Francis	Local authority maintained		2006-08-31
117534	Marriotts School	10070254516	11	18	1013	Ms Bethany Honnor	Local authority maintained		
117535	The Sele School	100081251094	11	18	699	Mr Nick Binder	Local authority maintained		2012-07-31
117536	Monk's Walk School	200003856315	11	18	1341	Mrs Kate Smith	Local authority maintained		2012-08-31
117537	The Highfield School	100081258155	11	18	1068	Mr Ian Morris	Local authority maintained		
117538	Sheredes School	148025150	11	18	940	Mr Ced De La Croix	Local authority maintained		2016-08-31
117539	Meridian School	100081259906	13	18	841	Dr M Firth	Local authority maintained		2011-10-31
117540	Freman College	100081260600	13	18	903	Ms Helen Loughran	Local authority maintained		2011-07-31
117541	Bridgewater Primary School	200004057611	4	11	420	Mrs Caren Doodson	Local authority maintained		
117542	The Greneway School	100081259905	9	13	614	Mrs Sai Kennedy	Local authority maintained		2011-10-31
117543	Ralph Sadleir Middle School	10033099252	9	13	360	Mrs E Hinton	Local authority maintained		2013-09-30
117544	Furzehill Middle School	10034169477	9	13	1534	Mr J P Fryer	Local authority maintained		2001-08-31
117545	Roysia Middle School	100081259862	9	13	360	Mr Peter Fielden	Local authority maintained		2011-10-31
117546	Sir John Newsom School	100081157316	11	18			Local authority maintained		1998-08-31
117547	Onslow St Audrey's School	100081151347	11	18	815	Mr Paul Meredith	Local authority maintained		2011-12-31
117548	Sandringham School	200003634749	11	18	1278	Mr Alan Gray	Local authority maintained		2011-03-31
117549	Birchwood High School	10033094436	11	18	1395	Mr Chris Ingate	Local authority maintained		2011-10-31
117550	The Thomas Alleyne School	10070250653	11	18	1008	Mr Mark Lewis	Local authority maintained		2013-08-31
117551	The Chauncy School	100081248681	11	18	933	Mr Dennis O'sullivan	Local authority maintained		2011-07-31
117552	The Astley Cooper School	100081177818	11	18	1055	Mr Edward Gaynor	Local authority maintained		
117553	Tring School	100081180867	11	18	1490	Mrs Julia Wynd	Local authority maintained		2012-06-30
117554	Edwinstree Church of England Middle School	100081260469	9	13	448	Mrs J Gant	Local authority maintained		
117555	Townsend CofE School	200003634895	11	18	881	Mr A Wellbeloved	Local authority maintained		
117556	St George's School	100081339335	11	18	1462	Mr Norman Hoare	Local authority maintained		2012-06-30
117557	John F Kennedy Catholic School	100081165659	11	18	1243	Mr Paul Neves	Local authority maintained		
117558	Loreto College	100081149988	11	18	927	Mrs Maire Lynch	Local authority maintained		2012-04-30
117559	The Thomas Coram Church of England School	200004060719	7	11	420	Mr Rob Halls	Local authority maintained		
117560	St Mary Roman Catholic Primary School	100081260008	3	11	210	Mr Robert Dunbar	Local authority maintained		2012-06-30
117561	Christ Church Church of England School	200000939626	3	11	210	Mr Duncan Gauld	Local authority maintained		2013-03-31
117562	Parkside Community Primary School	10034169363	3	11	390	Mr Steven Perrin	Local authority maintained		
117563	Hertingfordbury Cowper Primary School	10033099071	4	11	235	Mrs Alison Richards	Local authority maintained		
117564	St Giles' CofE Primary School	10034169955	4	11	105	Mrs Susan Ridge	Local authority maintained		
117565	Cuffley School	100081162228	3	11	452	Mrs Wendy Heyes	Local authority maintained		
117566	The Wroxham School	10034170488	4	11	210	Mrs Alison Peacock	Local authority maintained		2012-05-31
117567	Little Heath Primary School	200003858913	3	11	240	Mrs Kim Custis	Local authority maintained		
117568	Little Reddings Primary School	10034170740	3	11	357	Mrs H M Maddox	Local authority maintained		2012-01-31
117569	Northaw Church of England Primary School	200003855667	3	11	120	Mrs Shirley Whales	Local authority maintained		
117570	Brookmans Park Primary School	100081158341	4	11	345	Mrs Aileen Davies	Local authority maintained		
117571	St Catherine of Siena Catholic Primary School	200000936541	4	11	210	Ms P Curran	Local authority maintained		2012-06-30
117572	Rickmansworth School	100081289012	11	18	1215	Dr Stephen Burton	Local authority maintained		2011-03-31
117573	Watford Grammar School for Boys	200000931015	11	18	1265	Mr M Post	Local authority maintained		2010-08-31
117574	Francis Bacon School	100081150685	11	18	1010	Mr Matthew Gauthier	Local authority maintained		2012-08-31
117575	Watford Grammar School for Girls	200000932963	11	18	1315	Mrs H Hyde	Local authority maintained		2010-08-31
117576	Parmiter's School	100081288177	11	18	1392	Mr Nick Daymond	Local authority maintained		2011-06-30
117577	The Bishop's Stortford High School	100081159375	11	18	1211	Mr Dale Reeve	Local authority maintained		
117578	Ashlyns School	200001531133	11	18	1300	Mr James Shapland	Local authority maintained		
117579	Dame Alice Owen's School	10034170485	11	18	1416	Doctor A J Davison	Local authority maintained		2011-03-31
117580	Bushey Meads School	10034170938	11	18	1071	Mr Keith Douglas	Local authority maintained		2012-01-31
117581	Bushey Hall School	10034170798	11	18	1267	Mr Graham Yapp	Local authority maintained		2009-08-31
117582	Queens' School	10013905585	11	18	1788	Mr Terence James	Local authority maintained		2011-06-30
117583	Mount Grace School	10013905977	11	18	1082	Mr Peter Baker	Local authority maintained		2011-07-31
117584	Nicholas Breakspear Catholic School	100081154238	11	18	1073	Mr Phil Jakszta	Local authority maintained		2012-02-29
117585	The John Henry Newman Catholic School	10070250215	11	18	1405	Mr Michael Kelly	Local authority maintained		2012-02-29
117586	Marlborough School	100081149734	11	18	1161	Ms Annie Thomson	Local authority maintained		2012-03-31
117587	Goffs School	148001225	11	18	1518	Mrs Alison Garner	Local authority maintained		2011-09-30
117588	The Leventhorpe School	100081158550	11	18	1155	Mr Jonathan Locke	Local authority maintained		2011-07-31
117589	Saint Michael's Catholic High School	200000936463	11	18	1072	Mr John Murphy	Local authority maintained		2012-02-29
117590	Saint Joan of Arc Catholic School	100081139519	11	18	1243	Mr Peter Sweeney	Local authority maintained		2012-02-29
117591	Chancellor's School	100081158137	11	18	1065	Mr David Croston	Local authority maintained		
117592	The Hertfordshire & Essex High School and Science College	100081330603	11	18	1042	Mrs Cathy Tooze	Local authority maintained		2014-03-31
117593	St Clement Danes School	100081290125	11	18	1348	Dr Josephine Valentine	Local authority maintained		2011-06-30
117594	St Mary's Catholic School	100081158892	11	18	1029	Mr A Celano	Local authority maintained		
117595	St Mary's Church of England High School (VA)	148045045	11	18	877	Ms Stephanie Benbow	Local authority maintained		2012-06-30
117596	Cheshunt School	148007376	11	18	1026	Mr Andy Stainton	Local authority maintained		
117597	The John Warner School	148031716	11	18	1192	Mr D J Kennedy	Local authority maintained		2011-03-31
117598	Hockerill Anglo-European College	10033094244	11	18	728	Mr Simon Dennis	Local authority maintained		2011-01-31
117599	Holmshill School	10013904884	9	13		Mr C Wright	Local authority maintained		2001-08-31
117600	Abbot's Hill School	100081329516	3	16	510	Mrs E Thomas	Independent School	1941-01-01	
117601	Edge Grove School	10013029547	3	13	450	Mr Ben Evans	Independent School	1938-01-01	
117602	The Aldenham Foundation	10034170940	3	19	735	Mr J C Fowler	Independent School	1910-01-01	
117603	Berkhamsted School for Girls	100081183930	3	19			Independent School		1996-12-06
117604	Berkhamsted School	10002011683	3	19	1550	Mr M S Steed	Independent School	1902-01-01	
117605	Bishop's Stortford College	100081330394	4	18	1200	Mr Jeremy Gladwin	Independent School	1907-01-01	
117606	St Margaret's School	10034170807	4	18	434	Mrs Rose Hardy	Independent School	1918-01-01	
117607	Haileybury and Imperial Service College	10033105690	11	18	840	Mr J Davies	Independent School	1920-01-01	
117608	Aldwickbury School	100081155060	4	13	380	Mr V W Hales	Independent School	1950-01-01	
117609	Queenswood School	100081158019	11	18	450	Mrs Joanna Cameron	Independent School	1919-01-01	
117610	Westbrook Hay Prep School	200001051796	3	14	340	Mr K D Young	Independent School	1920-01-01	
117611	Lockers Park School	100081165308	5	14	154	Mr Christopher Wilson	Independent School	1919-01-01	
117612	St Christopher School	100081128564	3	19	680	Mr Richard Palmer	Independent School	1929-01-01	
117613	St Francis College	100081258153	3	18	672	Mrs Bronwen Goulding	Independent School	1947-01-01	
117614	Princess Helena College	10070043081	11	18	200	Mrs Sue Wallace-Woodroffe	Independent School	1919-01-01	
117615	Radlett Preparatory School	10013027232	4	11	480	Mr G White	Independent School	1950-01-01	
117616	Merchant Taylors' School	200000940258	11	18	884	Mr S Everson	Independent School	1927-01-01	
117617	St Albans High School for Girls	100081149992	4	18	1048	Mrs Jenny Brown	Independent School	1908-01-01	
117618	Tring Park School for the Performing Arts	200004057127	8	18	340	Mr Stefan Anderson	Independent School	1949-01-01	
117619	Northfield School	200000930348	2	19			Independent School		1997-08-19
117620	Beechwood Park School	200004050827	3	13	506	Mr Edward Balfour	Independent School	1930-01-01	
117621	Heath Mount School	10033100650	3	13	500	Mr Chris Gillam	Independent School	1921-01-01	
117622	Sherrardswood School	200003860724	3	19	400	Dr Markus Bernhardt	Independent School	1950-01-01	
