postcode	polygon
AL1 1DQ	
AL1 1HL	
AL1 2LE	
AL1 2NU	
AL1 2PB	
AL1 2QA	
AL1 3RQ	
AL1 3RR	
AL1 3SJ	
AL1 3SW	
AL1 4AP	
AL1 4LW	
AL1 4LX	
AL1 4PR	
AL1 5AR	
AL1 5EG	
AL1 5EX	
AL1 5PG	
AL1 5QJ	
AL1 5QP	
AL10 0PD	
AL10 0PS	
AL10 8AB	
AL10 8AX	
AL10 8ES	
AL10 8NL	
AL10 8NN	
AL10 8NW	
AL10 8TQ	
AL10 9AH	
AL10 9JY	
AL2 1JG	
AL2 1NL	
AL2 1PH	
AL2 2HU	
AL2 2LX	
AL2 3HD	
AL3 4HB	
AL3 4HZ	
AL3 4SJ	
AL3 5AY	
AL3 5HP	
AL3 5JB	
AL3 5NL	
AL3 5RL	
AL3 5RP	
AL3 6DB	
AL3 6DR	
AL3 6EL	
AL3 7ET	
AL3 7EX	
AL3 8AW	
AL3 8PT	
AL4 0JA	
AL4 0NP	
AL4 0TT	
AL4 0TZ	
AL4 0XA	
AL4 0XB	
AL4 8AN	
AL4 8TP	
AL4 9EB	
AL4 9NT	
AL4 9NX	
AL4 9RS	
AL4 9RW	
AL5 1AD	
AL5 1PF	
AL5 1QB	
AL5 1QD	
AL5 2ES	
AL5 2TP	
AL5 2UE	
AL5 3AD	
AL5 3AE	
AL5 3EF	
AL5 4DU	
AL5 4LE	
AL5 4QP	
AL5 4QW	
AL5 5HL	
AL5 5PU	
AL5 5SD	
AL6 0BJ	
AL6 0BX	
AL6 0JU	
AL6 0PX	
AL6 9DJ	
AL6 9JF	
AL7 1NZ	
AL7 1PG	
AL7 1QY	
AL7 2AF	
AL7 2AZ	
AL7 2HB	
AL7 3JP	
AL7 3RP	
AL7 3TF	
AL7 3XW	
AL7 4RU	
AL8 6JZ	
AL8 6YN	
AL8 6YR	
AL8 7LW	
AL8 7NL	
AL8 7RF	
AL8 7SD	
AL9 5DR	
AL9 6HD	
AL9 6NS	
AL9 7BN	
AL9 7NE	
AL9 7QY	
B1 2PJ	
B10 0AX	
B10 0HT	
B10 0HU	
B10 0LL	
B10 0NR	
B10 9DP	
B10 9EN	
B10 9LR	
B10 9NY	
B10 9RX	
B11 1EH	
B11 1LF	
