academy-school-eng	school-type	academy-trust	school-trust-join-date	academy-sponsor
137625	34			
137626	34	company:07807218		
137627	34	company:07798550		St Bede's Catholic College
137628	34	company:07530373	2016-01-09	East Midlands Education Trust
137629	34	company:07386086	2011-01-11	School Partnership Trust Academies (SPTA)
137630	34	company:07800431		
137631	34	company:07804282		The Star Multi-Academy Trust (Star-MAT)
137632	34	company:07546141	2011-01-11	Bedfordshire East Multi Academy Trust (BEMAT)
137633	34	company:07799811		
137634	34	company:07773693		
137635	34	company:07796938	2011-01-11	
137636	34	company:07798183		
137637	34	company:07791971		
137638	28	company:07195175	2012-01-01	This is a co-sponsored academy. Details of the sponsors of co-sponsored academies are not included in the current version of performance tables but this information will be available early in 2016
137639	34			
137640	34	company:07652661		
137641	34	company:07770605		
137642	34	company:07819870	2011-01-11	First Federation Trust
137643	34	company:07805262	2011-01-11	Inspire Partnership Multi Academy Trust
137644	34	company:07821367	2011-01-11	The Primary Academies Trust
137645	34	company:07803827		
137646	34	company:07802563		Quintin Kynaston School
137647	34	company:07821367	2011-01-11	The Primary Academies Trust
137648	34	company:04504128	2011-01-11	City of London Corporation
137649	34	company:07821367	2011-01-11	The Primary Academies Trust
137650	34	company:07807398		
137651	34	company:07821367	2011-01-11	The Primary Academies Trust
137652	44	company:07785550		
137653	34	company:07729759		
137654	34	company:07821367	2011-01-11	The Primary Academies Trust
137655	34	company:07462885	2015-01-09	Wakefield City Academies Trust
137656	34	company:07695881	2011-01-11	
137657	34	company:07695881	2011-01-11	
137658	34	company:07695881	2011-01-11	
137659	34	company:07821367	2011-01-11	The Primary Academies Trust
137660	34	company:07804043		
137661	34	company:07803743		Ignite Multi Academy Trust
137662	34	company:07819870	2011-01-11	First Federation Trust
137663	34	company:07800252		
137664	34	company:07819870	2011-01-11	First Federation Trust
137665	34	company:07819870	2011-01-11	First Federation Trust
137666	34	company:07819870	2011-01-11	First Federation Trust
137667	34	company:07671174	2015-01-09	
137673	28	company:06982127	2012-01-01	Ormiston Academies Trust
137674	28	company:06982127	2012-01-01	Ormiston Academies Trust
137675	28	company:07641004	2015-01-09	Great Schools For All Children
137678	34	company:08185432	2016-01-09	Grey Court School
137679	34	company:07831395		
137680	34	company:07838151		
137681	34	company:07694573		
137682	34	company:07797058		
137683	34	company:07824714	2011-01-12	Crofton Schools Academy Trust
137684	34	company:07831414		
137685	34	company:07819872		
137686	34	company:07840925		
137687	28	company:07344732	2012-01-01	Swale Academy Trust
137689	28	company:06526376	2012-01-01	E-ACT
137690	28	company:06625091	2012-01-01	Academies Enterprise Trust (AET)
137691	34	company:07845283		
137692	28	company:07835788	2012-01-01	Beal High School
137693	34	company:07803789		
137694	34	company:07843166	2011-01-12	Burnt Mill Academy Trust
137695	34	company:07831255		
137696	34	company:07837770	2011-01-12	
137697	34	company:07845627		
137698	34	company:07848566		
137699	34	company:08175471	2011-01-12	Brighter Futures Academy Trust
137700	28	company:06526376	2012-01-01	E-ACT
137701	34	company:07672607		
137702	34	company:07835950		St Johns School & Sixth Form College
137703	34	company:07840838		
137704	34	company:07831080		
137705	34	company:07817806		
137706	28	company:06526376	2012-01-01	E-ACT
137707	34	company:07841414		
137708	34	company:07841435		
137709	28			
137726	34			
137727	34	company:07846848		
137728	34	company:07800664		
137729	34			Featherstone High School
137730	34	company:07827368	2011-01-12	The Central Learning Partnership Trust
137731	34	company:07850551		
137732	34	company:07851471		
137733	34			
137734	34	company:07844795		
137735	34	company:07551959	2016-01-09	GLF Schools
137736	34	company:07818029	2011-01-12	
137737	34	company:07851205		
137739	34	company:07794423		
137740	34	company:07834715		
137741	34	company:07814065		
137742	34	company:07814150	2011-01-12	Isle Education Trust
137744	34	company:07851097	2011-01-12	HEARTS Academy Trust
137745	34	company:07831292		Woodside High School
137746	34	company:07838203	2011-01-12	
137747	34	company:07838203	2011-01-12	
137748	34	company:07838203	2011-01-12	
137749	28	company:07664012	2016-01-09	Diverse Academies Trust
137752	34	company:07840060		
137753	34	company:07844791	2012-01-01	The Olympus Academy Trust
137754	34	company:07843573		
137755	34		2016-01-09	
137756	34	company:07851337		
137757	34	company:07831507		
137758	34	company:07387540	2015-01-07	ASPIRE Academy Trust
137759	34			
137760	34	company:07772345		
137761	34	company:07835845		
137762	34	company:07848632		
137763	34	company:07827747	2012-01-01	The Evolve Trust
137764	34	company:07846823		
137765	34	company:07825848		Conisbrough Ivanhoe Primary Academy
137766	34	company:07848338		
137767	34	company:07849858		
137768	34			
137769	34	company:07844587		
137770	34	company:07848367		
137771	34	company:07654219	2012-01-01	Matrix Academy Trust
137772	34	company:07837778		
137773	34	company:07523436		Windsor Academy Trust
137774	34	company:07847454		
137775	34	company:07849654		
137776	34	company:07821367	2015-01-09	The Primary Academies Trust
137777	34	company:07852122		
137778	34	company:07824369		
137779	34	company:07468210	2012-01-01	CfBT Education Trust
137780	34	company:07697698	2012-01-01	
137781	34	company:07617529	2012-01-01	Creative Education Academies Trust (CEAT)
137782	28	company:04439859	2012-01-01	United Learning
137786	34	company:08296921	2012-01-01	L.E.A.D. Multi-Academy Trust
137787	34	company:07805677		
137788	34	company:07851937		
137789	34	company:07856680	2012-01-01	Green Spring Education Trust
137790	34	company:07849731		
137791	34	company:07834711		Bay House School and Sixth Form
137792	34	company:07817708		
137793	34	company:07850292		
137794	34	company:07777372		
137797	34	company:07848445		
137798	34	company:07875164	2012-01-01	Bluecoat Academy
137799	34	company:07819429		
137800	34	company:07827591		
137801	34	company:07878966		
137811	34	company:07809637		
137812	34	company:07865663		
137813	34	company:07842369	2012-01-01	New Dawn Trust
137814	34	company:07769103		
137815	34	company:07847190		
137816	34			
137825	34	company:07806338		
137826	34			
137827	34	company:07865850		
137828	34	company:07877078		
137829	34	company:07493622	2012-01-02	
137830	34	company:07892678		
137831	34	company:07909140		
137832	34	company:07897108		
137833	34	company:07898331		The Maplesden Noakes School
137834	34	company:07900248		
137836	34	company:07899198		
137837	34	company:07882159	2012-01-02	
137838	44	company:07849180		
137839	34	company:07909371		
137840	34	company:07872725		
137842	34			
137843	34	company:07907463	2012-01-02	The Laurus Trust
137844	34		2012-01-02	Barnhill Community High School
137845	34	company:08120960	2016-01-09	Wellspring Academy Trust
137847	34	company:07900439		
137848	34	company:07905433	2012-01-02	Coombe Secondary Schools Academy Trust (CSSAT)
137849	34	company:07902662		
137850	34	company:07887259	2012-01-02	Goldsworth Primary School
137851	34	company:07900532	2012-01-02	
137852	34	company:07890590	2012-01-02	Cardinal Hume Catholic School
137853	34	company:07897243		
137854	34	company:07836684		
137855	34	company:07886416		Hinchley Wood School
137856	34	company:07907633		
137857	34	company:07891230		
137858	34	company:07892732		
137859	34	company:07905433	2012-01-02	Coombe Secondary Schools Academy Trust (CSSAT)
137860	34	company:07727695		
137861	34	company:07895684	2012-01-02	
137864	28	company:06526376	2012-01-04	E-ACT
137866	28	company:07982966		Laing O'Rourke
137867	28		2012-01-06	Brooke Weston Trust
137869	34	company:07883174		
137870	34	company:07917752	2012-01-02	St Marys Academy Trust
137871	34	company:07847021	2012-01-02	
137872	34	company:07895684	2012-01-02	
137873	34	company:07468210	2012-01-02	CfBT Education Trust
137874	34		2012-01-02	
137875	44	company:07834300		
137876	34	company:08538844	2015-01-09	Diocese of Exeter
137877	34	company:07898905		
137878	34	company:07900254		
137879	28	company:07798627	2012-01-02	Stratton Upper
137880	28	company:06864339	2012-01-04	Greenwood Academies Trust
137881	28	company:02336587	2015-01-03	This is a co-sponsored academy. Details of the sponsors of co-sponsored academies are not included in the current version of performance tables but this information will be available early in 2016
137882	28	company:02336587	2012-01-06	This is a co-sponsored academy. Details of the sponsors of co-sponsored academies are not included in the current version of performance tables but this information will be available early in 2016
137883	44	company:02336587	2012-01-02	This is a co-sponsored academy. Details of the sponsors of co-sponsored academies are not included in the current version of performance tables but this information will be available early in 2016
137884	34	company:07872799	2012-01-02	Clevedon Learning Trust
137885	34	company:07890769		
137886	34	company:07798627	2012-01-02	Stratton Upper
137895	34	company:07944160	2012-01-03	
137896	44	company:07939260		
137897	34	company:07901900		
137898	34	company:07950949		
137899	34	company:07939747		
137900	34	company:07918561		
137901	34	company:07921744		
137902	34	company:07935515	2016-01-07	Cavendish Learning Trust
137903	34	company:07928558		Parkside Academy
137904	34	company:07695419		
137905	44	company:07931627		
137906	34	company:07944253		
137907	34	company:07954211		
137908	34	company:07937154	2012-01-03	Saint Robert Lawrence Catholic Academy Trust
137909	34	company:07937154	2012-01-03	Saint Robert Lawrence Catholic Academy Trust
137910	34	company:04439859	2012-01-03	United Learning
137911	34	company:07951293		
137912	34	company:07949111	2012-01-03	Hatton Academies Trust
137913	34	company:07913261	2012-01-03	St John the Baptist Catholic Multi Academy Trust
137914	34		2012-01-03	
137915	44	company:07914400		Nethergate School
137916	34	company:07950827		
137917	34	company:07776910		
137918	34	company:07943378		
137919	34	company:07939655	2012-01-03	Bartholomew School
137920	34	company:07931886	2012-01-03	
137921	34	company:07954417		
137922	34	company:07944160	2012-01-03	
137923	34	company:07947961		
137924	34	company:07941524		
137925	34	company:07944160	2012-01-03	
137926	34		2012-01-03	
137927	34		2012-01-03	South Tendring Education Partnership (STEP)
137928	34	company:07950851		
137929	34	company:07952451		
137930	34	company:07943613	2012-01-03	
137931	34	company:07937317		
137932	34			Symphony Learning Trust
137933	34			Symphony Learning Trust
137934	44	company:07916763		
137935	34	company:07941140		
137936	34	company:07929429	2012-01-03	
137937	34		2012-01-03	South Tendring Education Partnership (STEP)
137938	34	company:07944160	2012-01-03	
137939	34		2012-01-03	Bourton Meadow Academy
137940	34	company:07962216		
137941	34	company:07668955		
137942	34	company:07908404		
137943	34	company:07917745		Applecroft Primary School
137944	34	company:07926573	2016-01-09	South Tendring Education Partnership (STEP)
137945	34			
137946	34			
137947	34		2012-01-03	
137948	34	company:07546141	2012-01-03	Bedfordshire East Multi Academy Trust (BEMAT)
137949	34	company:07946986	2012-01-03	Transforming Education in Norfolk (the TEN Group)
137951	28	company:06237630	2012-01-04	Great Academies Education Trust
137952	28	company:02336587	2012-01-04	This is a co-sponsored academy. Details of the sponsors of co-sponsored academies are not included in the current version of performance tables but this information will be available early in 2016
137954	28	company:06526376	2013-01-09	E-ACT
137958	34	company:07976516		
137959	34	company:07937939		
137960	34	company:07967402	2012-01-04	The Vaynor First School
137961	34	company:07966182		
137962	34	company:07992440		
137963	34	company:07398467	2016-01-09	Ivybridge Academy Trust
137964	34	company:07984125		
137965	34	company:07974098		
137966	34	company:07984073		
137967	34	company:07966187		
137968	34	company:07992372		Redmoor Academy
137969	34	company:07992438		
137970	34	company:07966500	2012-01-04	River Learning Trust
137971	34	company:07973327		
137972	34	company:07987596		
137973	34	company:08364709	2012-01-04	Fylde Coast Teaching School Ltd
137974	34	company:07983995		
137975	34	company:07984843		
137976	34	company:07980335	2012-01-04	
137977	34	company:07971651	2012-01-04	Aurum Academies Trust
137978	34	company:07971665		Witham St Hughs Academy
137979	34	company:07977442		Chepping View Primary Academy
137980	34	company:07962974	2012-01-04	Schoolsworks Academy Trust
137981	34		2012-01-04	The Two Counties Trust
137982	34	company:07959980	2012-01-04	
137983	34	company:07988521		
137984	34	company:07975551	2012-01-04	Wigston Academies Trust
137985	34	company:07990029		
137986	34	company:07998451		
137987	34	company:07988495		
137988	34	company:07986921		
137989	34	company:07988497		
137990	34	company:07569727	2012-01-04	The Williamson Trust
137991	34	company:07986090		
137992	34	company:07977368	2012-01-04	
137993	34	company:07977368	2012-01-04	
137994	34	company:07944160	2012-01-04	
137995	34	company:07944160	2012-01-04	
137996	34	company:08056907	2012-01-04	Enquire Learning Trust
137997	44	company:07988540		
137998	44	company:07977940	2012-01-04	Ambitions Academies Trust
138000	34	company:07984221	2012-01-04	
138001	34	company:07348231	2012-01-04	Kemnal Academy Trust, The (TKAT)
138002	34	company:07984413	2012-01-04	
138003	34	company:07883254		
138004	34	company:08075785	2016-01-04	The White Horse Federation
138005	34	company:07977150		
138006	34	company:07386086	2012-01-04	School Partnership Trust Academies (SPTA)
138007	34	company:07386086	2012-01-04	School Partnership Trust Academies (SPTA)
138008	34	company:07386086	2012-01-04	School Partnership Trust Academies (SPTA)
138009	34	company:07977368	2012-01-04	
138011	34	company:07986805		
138012	34	company:09583593	2015-01-09	
138013	34	company:07988376	2012-01-04	
138014	34	company:07973953	2012-01-04	Nottingham Roman Catholic Diocesan Education Service (NRCDES)
138015	34	company:07973953	2012-01-04	Nottingham Roman Catholic Diocesan Education Service (NRCDES)
138016	34	company:07973953	2012-01-04	Nottingham Roman Catholic Diocesan Education Service (NRCDES)
138017	34	company:07973953	2012-01-04	Nottingham Roman Catholic Diocesan Education Service (NRCDES)
138018	34	company:07973953	2012-01-04	Nottingham Roman Catholic Diocesan Education Service (NRCDES)
138019	34	company:07992899		
138020	34	company:07990655		
138021	34	company:07890613		
138022	34	company:07999942		
138023	34	company:07994219		
138024	34	company:07999988		
138025	34	company:07984453		
138026	34	company:07959096		
138027	34	company:07996350		
138028	34	company:07984238	2012-01-04	The Learning Pathways Trust
138029	34	company:07923329		Godmanchester Community Education Trust
138030	34	company:07982740		
138032	34	company:07969062		
138033	34	company:07887796	2012-01-04	Victoria Park Primary Academy
138034	34	company:07974434		
138035	34	company:07988355		
138036	34			Leading Learners Academy Trust (Tyldesley Primary School)
138037	34	company:07994514		
138038	34	company:07954363		
138039	34	company:07982312	2012-01-04	Wensum Trust
138040	34	company:07991877	2012-01-04	
138041	34	company:07989226		
138042	34	company:08003969		
138043	34	company:07972070	2012-01-04	Bursley Academy Trust Limited
138044	44	company:07973980		
138046	34	company:07965316	2012-01-04	Greenacre Academy Trust
138047	28	company:07713540	2012-01-04	Learning Academy Partnership
138048	28	company:05853746	2012-01-04	Gateway Academy Trust
138049	28	company:07348231	2012-01-04	Kemnal Academy Trust, The (TKAT)
138050	28	company:07348231	2012-01-04	Kemnal Academy Trust, The (TKAT)
138051	34	company:07992842		
138052	34	company:05112090	2015-01-09	ARK Schools
138053	34	company:08006711	2012-01-04	
138054	34	company:07968898		
138055	34	company:07718539		
138056	34	company:07998122		
138057	34	company:07994012		
138058	34	company:07827237		
138059	34	company:07949154	2012-01-04	Core Education Trust
138060	34			
138061	34			
138062	34	company:07930349		
138063	34	company:07468210	2012-01-04	CfBT Education Trust
138064	34			
138065	34	company:07703865	2012-01-04	St Clere's Co-operative Academy Trust
138066	34	company:07988376	2012-01-04	
138067	34	company:09270040	2016-01-09	The Challenger Multi-Academy Trust
138068	34	company:06625091	2012-01-04	Academies Enterprise Trust (AET)
138069	34	company:07697171	2012-01-04	Tapton School Academy trust
138070	34	company:07353824	2012-01-04	The Spencer Academies Trust
138071	28	company:07348231	2012-01-04	Kemnal Academy Trust, The (TKAT)
138072	28	company:06625091	2012-01-04	Academies Enterprise Trust (AET)
138073	28	company:06526376	2012-01-07	E-ACT
138074	28	company:06625091	2012-01-04	Academies Enterprise Trust (AET)
138075	34	company:07990434		
138076	34	company:07964360		
138077	28	company:07462885	2012-01-04	Wakefield City Academies Trust
138078	34	company:07987239		
138079	34			Bradgate Education Partnership
138080	34	company:07976019	2012-01-04	
138081	34	company:07976019	2012-01-04	
138082	34	company:07386086	2012-01-04	School Partnership Trust Academies (SPTA)
138083	34	company:07386086	2012-01-04	School Partnership Trust Academies (SPTA)
138084	34		2012-01-04	South Tendring Education Partnership (STEP)
138085	34	company:08003909	2012-01-04	
138086	34	company:08003909	2012-01-04	
138087	34	company:08258994	2016-01-09	Bradford Diocesan Academies Trust
138088	34	company:07748248	2012-01-04	
138089	34	company:07748248	2012-01-04	
138090	34	company:07976019	2012-01-04	
138093	44	company:07748248	2012-01-04	
138094	44	company:07988444		
138097	28	company:07695771	2012-01-08	Bright Futures Educational Trust
138098	28	company:07827368	2012-01-06	The Central Learning Partnership Trust
138103	34	company:08021855	2015-01-07	Southmoor Academy Trust
138104	34	company:08025958		
138105	34	company:08020070		
138106	34	company:08028084		
138107	34	company:08024353		
138108	34	company:08028789		
138109	34	company:08045401		
138110	34	company:08010464	2012-01-05	The Rowan Learning Trust
138111	28	company:07990619	2015-01-07	The Rodillian Academy
138112	34	company:08020467		
138113	34	company:07552631	2012-01-05	Catmose Federation Academy
138114	34	company:08032410	2012-01-05	The Priory School
138115	34	company:07976019	2012-01-05	
138116	34	company:07736364		
138117	28	company:06625091	2012-01-05	Academies Enterprise Trust (AET)
138120	34	company:07964133	2012-01-05	
138121	34	company:08043695		
138122	44	company:06625091	2012-01-05	Academies Enterprise Trust (AET)
138123	34	company:08027943	2012-01-05	The Dean Trust
138124	34	company:08027943	2012-01-05	The Dean Trust
138127	34	company:09791051	2016-01-05	Reach4 Academy Trust
138128	34	company:08026134		
138129	34	company:08027879		
138130	44	company:07982516	2015-01-07	
138133	34	company:08024396	2012-01-05	The Mead Academy Trust
138134	34	company:07827963		
138135	34	company:07875747		
138136	34		2012-01-05	The Arthur Terry School
138137	34		2012-01-05	The Arthur Terry School
138141	34	company:07749786	2012-01-05	Perry Beeches The Academy Trust
138149	34	company:08041135		
138150	34	company:08038063	2012-01-06	
138151	34	company:08059055	2012-01-06	Grove Park Academies
138152	34	company:07986218		
138153	34	company:08034402	2012-01-06	Wood Newton Academy Trust
138154	34	company:08054506		
138155	34	company:08023322		
138156	44	company:08071851		
138157	44	company:08036395	2012-01-06	
138158	44	company:08036395	2012-01-06	
138159	34	company:08047328		
138160	34	company:06182612	2012-01-06	David Ross Education Trust (DRET)
138161	34		2012-01-06	
138162	34		2012-01-06	
138163	34	company:08029445		
138164	34	company:08068528	2012-01-06	St Thomas More's Catholic Primary School
138165	34	company:08066279		
138166	34	company:08073873	2012-01-06	Marish Academy Trust
138167	34	company:08039629	2012-02-06	
138168	34	company:08039629	2012-01-06	
138169	34	company:08039629	2012-01-06	
138170	34	company:08039629	2012-01-06	
138171	34	company:08080096	2012-01-06	
138172	34	company:08062065		
138173	34			Symphony Learning Trust
138174	34	company:08066610	2012-01-06	The Legra Academy Trust
138175	34	company:08027205	2012-01-06	
138176	34	company:08027205	2012-01-06	
138177	34	company:07994038		
138178	34	company:08058921	2012-01-06	The Collegiate Trust
138179	34	company:08027885	2012-01-06	Heathfield Academy Trust
138180	34	company:08027885	2012-01-06	Heathfield Academy Trust
138181	34	company:08002543		
138182	34	company:07359755	2012-01-06	The Thinking Schools Academy Trust
138183	34	company:08028387		
138184	34	company:08021829		
138185	34	company:07976019	2012-01-06	
138186	34	company:08059041		
138187	34	company:08053276		
138188	34	company:08056328		
138189	34	company:08066324	2012-01-06	
138190	34	company:07553531	2015-01-05	Northern Star Academies Trust
138191	34	company:07530373	2015-01-09	East Midlands Education Trust
138192	34	company:08060671		
138193	34	company:08080096	2012-01-06	
138194	28	company:07348167	2012-01-06	Ninestiles Academy Trust
138195	28	company:02336587	2015-01-03	This is a co-sponsored academy. Details of the sponsors of co-sponsored academies are not included in the current version of performance tables but this information will be available early in 2016
138199	40	company:07651573		Bedford College
138204	34	company:07829616		
138205	34	company:08028375	2012-01-06	
138206	34	company:08028375	2012-01-06	
138207	34	company:07929335		
138208	34	company:08039319		
138209	34	company:08006892		
138210	34	company:08060721	2012-01-06	
138211	34	company:08063683		
138212	34	company:05735093	2012-01-06	Laidlaw Schools Trust
138213	34	company:08063334		
138214	34	company:09299605		The Duston School
138215	34	company:08033193		
138216	34		2012-01-06	The Priory School: PEET (Pursuing Educational Excellence Together)
138217	34	company:07838126		
138218	34	company:08049062		
138219	44	company:06625091	2012-01-06	Academies Enterprise Trust (AET)
138221	34	company:08061075		
138222	40	company:07166427		
138229	40	company:07695771	2015-01-03	This is a co-sponsored academy. Details of the sponsors of co-sponsored academies are not included in the current version of performance tables but this information will be available early in 2016
138234	28	company:07917752	2012-01-09	St Marys Academy Trust
138235	28	company:06526376	2012-01-09	E-ACT
138236	28	company:07368292	2012-01-09	Brook Learning Trust
138237	28	company:05398529	2012-01-09	Oasis Community Learning
138246	28	company:06545396	2015-01-09	Sirius Academy
138247	28	company:06995649	2012-01-06	Outwood Grange Academies Trust
138248	28	company:06995649	2012-01-06	Outwood Grange Academies Trust
138253	33	company:07919427	2012-01-04	St Pauls Catholic School
138265	40	company:07722672		
138278	28	company:05398529	2012-01-09	Oasis Community Learning
138279	28	company:07386086	2012-01-07	School Partnership Trust Academies (SPTA)
138280	28	company:08062508	2012-01-07	The Diamond Learning Partnership Trust
138281	44	company:07972037		
138282	34	company:08105941	2012-01-07	
138283	34	company:08105941	2012-01-07	
138284	34	company:08099606		
138285	34	company:08104080		
138286	34	company:08104190		
138287	34	company:08062622		
138288	34	company:07944160	2012-01-07	
138289	34	company:08082185		
138290	34	company:08106388	2012-01-07	
138291	34	company:07468210	2012-01-07	CfBT Education Trust
138292	34	company:07944160	2012-01-07	
138293	34			
138294	34		2012-01-07	
138295	34		2012-01-07	
138296	34		2012-01-07	
138297	34		2012-01-07	
138298	34		2012-01-07	
138299	34		2012-01-07	
138300	34	company:08087508	2016-01-07	Zest Academy Trust
138301	34	company:08100149		
138302	34	company:08105758		
138303	34	company:08055393		
138304	28	company:09042916	2012-01-07	Interserve Investments Ltd
138305	34	company:08075785	2012-01-07	The White Horse Federation
138306	34	company:08075785	2012-01-07	The White Horse Federation
138307	44	company:08075785	2012-01-07	The White Horse Federation
138308	34	company:08075785	2012-01-07	The White Horse Federation
138309	34	company:08075785	2012-01-07	The White Horse Federation
138310	34			
138311	34	company:08111345		
138312	34	company:08100409		
138313	34	company:08099098		
138314	34		2015-01-08	Consilium Academies Trust
138315	34	company:08110847	2012-01-07	
138316	34	company:07944160	2012-01-07	
138317	34	company:08082405		
138318	34	company:08100578		
138319	34	company:08146330	2016-01-09	The Park Federation Academy Trust
138321	34	company:08076310		
138322	34	company:07944160	2012-01-07	
138323	34	company:08089397		
138324	34	company:08737412	2016-01-09	Diocese of Lincoln
138325	34	company:08107310	2012-01-07	The Silver Birch Academy Trust
138326	34			Life Education Trust
138327	34	company:07191874	2015-01-09	The Midland Academies Trust
138328	34	company:08095169	2012-01-07	
138329	34			
138330	34	company:07980317		
138331	34	company:08083620	2012-01-07	
138332	34	company:07386086	2012-01-07	School Partnership Trust Academies (SPTA)
138335	34	company:08085808		
138336	34	company:07990619	2012-01-07	The Rodillian Academy
138337	34			
138338	34	company:08089246	2012-01-07	
138339	34	company:08089246	2012-01-07	
138340	34	company:08089246	2012-01-07	
138341	34	company:08089246	2012-01-07	
138342	34	company:08107655		
138343	34	company:08077289		
138344	34	company:08073889		
138345	34	company:08104111	2015-01-09	Discovery Schools Academies Trust Ltd
138346	34			
138347	34			
138348	34	company:08104111	2012-01-07	Discovery Schools Academies Trust Ltd
138349	34	company:06228587	2012-01-07	Harris Federation
138350	34	company:08100518		
138352	34	company:08056991		
138353	34	company:08076374	2012-01-07	The Flying High Trust
138354	34	company:07944160	2012-01-07	
138355	34	company:08075363		
138356	34	company:08092358		
138357	28	company:07577113	2012-01-07	Aston Community Education Trust (ACET)
138358	34	company:08104111	2012-01-07	Discovery Schools Academies Trust Ltd
138359	34			
138360	34	company:07999861		
138361	34			
138362	34	company:07748248	2012-01-07	
138364	28	company:07893665	2015-01-04	The Griffin Schools Trust
138365	28	company:07430317	2015-01-04	The Redhill Academy Trust
138369	28	company:06625091	2012-01-09	Academies Enterprise Trust (AET)
138370	28	company:07394671	2012-01-09	Torquay Boys Grammar School Multi-Academy Trust
138371	28	company:05112090	2012-01-09	ARK Schools
138372	28	company:07468210	2012-01-09	CfBT Education Trust
138373	28		2015-01-09	Active Learning Trust (ALT)
138374	28	company:06526376	2012-01-09	E-ACT
138375	28	company:08098956	2012-01-09	Bridgwater College Trust
138377	28	company:06511936	2012-01-09	Merchant Venturers, The Society of
138388	28	company:07927423		The Aldridge Foundation
138389	28	company:08452281	2015-01-09	REAch2
138390	28	company:08107711	2012-01-09	Aurora Academies Trust
138391	28	company:08107711	2012-01-09	Aurora Academies Trust
138392	28	company:08107711	2012-01-09	Aurora Academies Trust
138394	28	company:06207590	2012-01-09	Cabot Learning Federation
138395	28	company:07662289	2012-01-09	Equitas Academies Trust
138396	28	company:06526376	2012-01-09	E-ACT
138397	28	company:05112090	2012-01-09	ARK Schools
138398	28	company:08175471	2012-01-09	Brighter Futures Academy Trust
138399	28	company:07189647	2012-01-09	Northern Education Trust
138400	28	company:08107711	2012-01-09	Aurora Academies Trust
138401	28	company:07386086	2012-01-08	School Partnership Trust Academies (SPTA)
138402	28	company:07348231	2012-01-09	Kemnal Academy Trust, The (TKAT)
138404	28	company:07851097	2012-01-09	HEARTS Academy Trust
138409	28	company:05398529	2012-01-09	Oasis Community Learning
138410	28	company:06625091	2012-01-09	Academies Enterprise Trust (AET)
138411	28	company:07635510	2012-01-09	Torch Academy Gateway Trust
138412	28	company:06995649	2016-01-04	Outwood Grange Academies Trust
138413	28	company:04439859	2012-01-09	United Learning
138414	28	company:07697171	2012-01-09	Tapton School Academy trust
138415	28	company:09791051	2016-01-05	Reach4 Academy Trust
138416	28	company:08115121	2012-01-09	Salford Academy Trust
138417	28	company:08115121	2012-01-09	Salford Academy Trust
138418	28	company:08115121	2012-01-09	Salford Academy Trust
138419	28	company:07846852	2012-01-09	Academy Transformation Trust (ATT)
138420	28	company:08116706	2012-01-09	The Elliot Foundation Academies Trust
138421	28	company:07699625	2012-01-11	The Athelstan Trust
138423	28	company:06182612	2012-01-11	David Ross Education Trust (DRET)
138424	28	company:08075785	2012-01-09	The White Horse Federation
138425	28	company:08116706	2012-01-11	The Elliot Foundation Academies Trust
138428	33	company:08075785	2015-01-04	The White Horse Federation
138429	33	company:08075785	2015-01-04	The White Horse Federation
138430	33	company:06625091	2012-01-09	Academies Enterprise Trust (AET)
138431	28	company:07893665	2012-01-09	The Griffin Schools Trust
138432	28	company:08165736		Diocese of Birmingham Education Trust
138433	28	company:08177570		Diocese of Birmingham Education Trust
138434	28	company:07348231	2012-01-09	Kemnal Academy Trust, The (TKAT)
138435	28	company:06625091	2012-01-09	Academies Enterprise Trust (AET)
138436	28	company:07348231	2012-01-09	Kemnal Academy Trust, The (TKAT)
138437	28	company:07348231	2012-01-09	Kemnal Academy Trust, The (TKAT)
138438	28	company:07348231	2012-01-09	Kemnal Academy Trust, The (TKAT)
138439	28	company:06625091	2012-01-09	Academies Enterprise Trust (AET)
138440	28	company:06625091	2012-01-09	Academies Enterprise Trust (AET)
138442	28	company:06864339	2012-01-09	Greenwood Academies Trust
138443	28	company:07353824	2012-01-09	The Spencer Academies Trust
138444	28	company:06864339	2012-01-09	Greenwood Academies Trust
138445	28	company:06864339	2012-01-09	Greenwood Academies Trust
138446	28	company:06228587	2012-01-09	Harris Federation
138447	28	company:06228587	2012-01-09	Harris Federation
138448	28	company:08089704	2012-01-09	Trust in Learning (Academies)
138449	28	company:06228587	2012-01-09	Harris Federation
138452	28	company:06526376	2012-01-09	E-ACT
138453	28	company:07348231	2012-01-09	Kemnal Academy Trust, The (TKAT)
138454	44	company:08153765	2012-01-09	Hornbeam Academy Trust
138457	34	company:08137772	2012-01-08	Wembley High Technology College
138458	34	company:08134861		
138459	34	company:07966826		
138460	34	company:08130502		
138461	34	company:08130508	2012-01-08	Waldegrave School for Girls
138462	34	company:08104539		
138463	34	company:08137421		
138464	34	company:08125396		
138465	34	company:08135761		
138466	34	company:08084047		
138467	34	company:08018275		
138468	34	company:08018237		
138469	34	company:08133360		
138470	34			
138471	34	company:08130468		
138472	34	company:08127108		
138473	34	company:08122579		
138474	34	company:08130302		
138475	34			
138476	34	company:08135868		
138477	34	company:08121030		
138478	34	company:08114513		
138479	34	company:08117139		
138480	34	company:08142275	2012-01-08	
138481	34	company:08124416		
138482	34	company:08128513	2012-01-08	Trent Academies Group
138483	34	company:08100344		
138484	34	company:08124615		
138485	44	company:08130253		
