school	address
100510	217039250
100512	217072677
100514	217117885
100515	217113893
100516	217092548
100518	217036036
100519	217065813
100521	217068696
100522	217113790
100527	34061918
100528	33034812
100530	100023585687
100531	217065847
100533	217068640
100534	217019364
100535	217033836
100537	217106625
100538	217086526
100539	217016773
100540	217106306
100541	100023466237
100542	217045335
100543	10033541645
100545	217122777
100547	217072677
100548	100062276958
100549	217104439
100550	200000487475
100551	100023571589
100552	100023231094
100553	100023364856
100554	100023573046
100555	200000484088
100556	100023570718
100557	100023365455
100558	100023365455
100560	200000454983
100561	100023386954
100562	100023571589
100564	100023319950
100566	200000480653
100567	200000467195
100568	200000459612
100569	200000459612
100570	200000466729
100571	200000466729
100572	200000524753
100573	100023225523
100574	100023571778
100575	10000444683
100576	10000444683
100577	100023246994
100578	200000524677
100579	200000485007
100580	200000485007
100582	100023389736
100583	100023389736
100584	100023354215
100585	100023318311
100586	100023572915
100587	10000445340
100588	100023230109
100589	100023231301
100590	100023320010
100591	100023384015
100592	100023571403
100593	200000460906
100594	10091118097
100595	10091118097
100596	10000445340
100597	100023266752
100598	200000470294
100599	100023365037
100600	200000472804
100601	100023571403
100602	200000486942
100603	200000472804
100604	200000465708
100607	100023387986
100608	100023352500
100609	200000477868
100610	100023571219
100611	200000458065
100612	200000485617
100613	200000467628
100614	200003496802
100615	100023387986
100616	200000477932
100617	100023320541
100618	200000471131
100619	200000465663
100620	200000466313
100621	200000461539
100622	200000485274
100623	200000469562
100624	200000460903
100626	200000524408
100627	200000470196
100628	200000453941
100629	100023230064
100630	200000484584
100631	200000483857
100632	200000476614
100633	200000456798
100634	100023386255
100635	100023385680
100636	200000460648
100637	200000453941
100638	200000454981
100639	100023572074
100640	200000468068
100641	100023351628
100642	100023226882
100643	200000485007
100644	200000484202
100645	100023572939
100648	100023317281
100650	200003440890
100651	200000483857
100652	200000484088
100654	100023389621
100659	200000462853
100662	200000484088
100663	100021832485
100667	100023282078
100668	100023272214
100671	10023226960
100672	100023278134
100673	100023232051
100674	10023232145
100675	100023238480
100676	100023232060
100677	100023253312
100678	10023226831
100679	100022889917
100680	100023237856
100681	100023278051
100683	10023232149
100684	100023271562
100685	100023281845
100686	100023263624
100687	100023235554
100688	100023278879
100689	100023272228
100690	100023264655
100691	100023237482
100692	100022890108
100693	100023234112
100695	100023281113
100696	100023233133
100697	100023237884
100698	100021915131
100699	100022889476
100700	100023278676
100701	200000556247
100702	10023226870
100703	10023226870
100704	100023253750
100705	100023253750
100707	100023276843
100708	100023276843
100709	100023268042
100710	100023256806
100711	100023570501
100712	100023282048
100713	10023232146
100714	100023256409
100715	100023254119
100716	100023281192
100717	100023232774
100718	10023232829
100719	100023568932
100720	100023272525
100721	100023255442
100722	200000548270
100723	10023226862
100724	100023234203
100725	100023569352
100726	200000563600
100727	100023238022
100728	200000563497
100729	200000546052
100730	200000555449
100731	200000553961
100732	10023233952
100733	100023235382
100734	200000545825
100735	100023232105
100737	100023253927
100739	100023277793
100740	100023238950
100741	100023569263
100743	100023277900
100744	100022889953
100745	100023254151
100747	100023271532
100748	100023570118
100749	200000548446
100750	100023270080
100752	100022890112
100753	100023272652
100754	100023278221
100756	10010201475
100757	100023264593
100758	100023270373
100759	10090785820
100762	10090785821
100763	100022889950
100764	100023272527
100765	10023226872
100766	100023278156
100767	200003362593
100768	10009791130
100769	200003494313
100770	200003385455
100772	10009794746
100774	200003468825
100775	200003495179
100776	200003468838
100777	200003468838
100778	200003468827
100779	200003468827
100780	200003378821
100781	200003356434
100782	200003453361
100783	200003453190
100784	200003468862
100785	200003465355
100786	200003440964
100787	10000810786
100788	200003407200
100789	200003400604
100790	200003468845
100791	200003366576
100793	200003468850
100794	200003468851
100795	200003407099
100796	200003390174
100797	200003385346
100798	200003493957
100799	200003374339
100800	200003468841
100801	200003436393
100802	200003468847
100803	200003427873
100806	200003390272
100807	200003495579
100808	200003468840
100809	10000811654
100810	200003404391
100811	200003362342
100812	200003404525
100813	200003359584
100814	200003420922
100815	200003468875
100816	200003496848
100817	200003494389
100818	10000811929
100819	200003417883
100820	200003491994
100821	200003494972
100822	200003362593
100823	10000810786
100824	200003422466
100826	200003493525
100828	200003375231
100829	200003410782
100830	200003491984
100831	200003420923
100832	200003493563
100833	200003468844
100834	200003468830
100835	200003372419
100836	200003493579
100837	200003492133
100838	200003468864
100839	200003494070
100840	200003468866
100841	200003415644
100842	200003404940
100843	10013528568
100844	200003468831
100845	200003449057
100846	200003468852
100847	200003468849
100848	10090287303
100849	200003363943
100850	200003468878
100851	200003449039
100852	200003468828
100853	200003495033
100854	200003495033
100855	200003496839
100856	200003422804
100857	200003493834
100858	200003468853
100859	200003372418
100860	200003468833
100861	200003434062
100862	200003434058
100863	200003468839
100864	200003440977
100866	200003449625
100870	10000811707
100871	200003413985
100872	10091664698
100873	200003371869
100874	200003385972
100878	200003400125
100879	200003469055
100880	10090284182
100881	200003407202
100882	6071074
100883	6007611
100884	6005101
100885	6029749
100886	6038799
100887	6036396
100888	6049032
100890	6049032
100891	6038359
100892	6070383
100893	6129881
100894	6047332
100895	6024901
100896	6052143
100897	6004932
100898	6147903
100899	6135945
100900	6043233
100901	6074655
100902	6038802
100903	6015888
100904	6107574
100906	6036658
100907	6020069
100908	6118439
100909	6048420
100910	6048420
100911	6028495
100912	6070380
100913	6173760
100914	6041315
100915	6024901
100916	6053806
100917	6027579
100918	6015886
100919	6052144
100920	6068574
100921	6047609
100922	6069550
100923	6015884
100924	6007611
100925	6007611
100926	6002601
100927	6074657
100928	6082059
100930	6015886
100931	6061293
100932	6147903
100933	6052144
100934	6016124
100935	6005510
100936	6131616
100937	6120331
100938	6047368
100939	6014144
100940	6012787
100941	6027578
100942	6115105
100943	6020119
100944	6000011
100945	6143689
100946	6047367
100947	6151448
100948	6044043
100949	6070909
100950	6015883
100951	6059147
100952	6151448
100953	6041349
100954	6077554
100955	6027516
100957	6005514
100958	6110285
100959	6005510
100960	6027514
100961	6115564
100962	6002556
100963	6027516
100964	6065984
100965	6192434
100966	6107522
100967	6036909
100968	6014338
100969	6114298
100970	6176399
100971	6089270
100972	6020311
100973	6052925
100974	6211455
100975	6150279
100977	6119540
100978	6167778
100979	6024098
100981	6014144
100982	6155338
100983	6083255
100984	6155338
100986	100062256481
100987	6048421
100988	6015890
100989	6193737
100990	10090498438
100992	100023301236
100994	100023325055
100995	100023306534
100996	100023327578
100997	100022668177
100998	100023304734
100999	100023300939
101000	100023385194
101001	100023312321
101002	100023321745
101003	100023303694
101004	100023321127
101005	100023328569
101006	100022716981
101007	100023322948
101008	100023325077
101009	100023325911
101010	100022679669
101011	100023304756
101012	100023304756
101013	100023311331
101014	121021268
101016	100023320889
101017	10024087076
101018	121048646
101019	100023325910
101020	100023303835
101021	121009574
101022	100023327771
101024	121008606
101025	100023362682
101026	100023330392
101027	100023334989
101028	100023315429
101029	100023314333
101031	100023334915
101032	100023334913
101033	100023314337
101034	100023311250
101035	100023299935
101036	100023306390
101037	100023310725
101039	100023299934
101040	100023299934
101041	100023327764
101042	100023325059
101043	100023326752
101044	100023385242
101045	100023313005
101046	100023311245
101047	100023306546
101048	100023385191
101049	100023330353
101050	121024987
101051	100023334960
101052	121019126
101053	100023323170
101054	100023306565
101055	100023302777
101057	100022654432
101058	10090497151
101059	121009606
101060	100023313038
101062	100023334959
101063	10090500039
101064	100023314610
101065	100023311697
101067	121005392
101068	121029410
101069	48086243
101070	100023587855
101071	100023585819
101072	10070239567
101074	100022674349
101075	100023326844
101076	121029410
101077	100023302269
101078	100023306338
101079	121018646
101080	10091500696
101081	10070242845
101082	121022142
101084	121031640
101085	100023300936
101087	100023314850
101089	100023304286
101090	10070244301
101091	121020768
101092	121004229
101094	121019232
101098	100023315789
101099	100023315789
101100	100023323170
101102	100023314838
101103	100023328570
101107	100023121743
101108	100023477577
101109	10033542177
101110	10033599483
101111	100023513126
101112	10033600274
101114	10033599849
101115	10033537994
101116	10033541399
101117	100023120375
101118	10033537994
101119	10033541399
101120	100023433443
101121	100023469192
101122	100023338343
101123	10033560041
101124	10033532546
101125	100023114816
101126	100023346188
101127	100023430702
101128	10033537494
101129	10033532472
101130	10033543495
101131	100023472742
101133	10033599774
101134	100023515662
101135	100023483942
101136	10033548147
101137	10033543331
101139	100023513127
101140	100023345193
101141	10033543325
101143	100023463994
101144	100023338253
101146	10033530492
101147	10033600132
101148	100023342238
101149	100023119325
101150	10033604717
101152	10033579377
101153	10033540298
101154	10033539907
101156	10033547978
101158	100023610170
101159	100023339396
101160	100023346998
101165	100023338396
101168	10033579535
101170	100023432142
101171	100023070511
101173	100023339582
