urn	establishment-type	establishment-group-type
116503	Voluntary Aided School	LA maintained schools
116504	Foundation School	LA maintained schools
116505	Voluntary Aided School	LA maintained schools
116506	Foundation School	LA maintained schools
116507	Voluntary Aided School	LA maintained schools
116508	Foundation School	LA maintained schools
116509	Voluntary Aided School	LA maintained schools
116510	Foundation School	LA maintained schools
116511	Community Special School	Special schools
116512	Other Independent School	Independent schools
116513	Other Independent School	Independent schools
116514	Other Independent School	Independent schools
116515	Other Independent School	Independent schools
116516	Other Independent School	Independent schools
116517	Other Independent School	Independent schools
116518	Other Independent School	Independent schools
116519	Other Independent School	Independent schools
116520	Other Independent School	Independent schools
116521	Other Independent School	Independent schools
116522	Other Independent School	Independent schools
116524	Other Independent School	Independent schools
116525	Other Independent School	Independent schools
116526	Other Independent School	Independent schools
116527	Other Independent School	Independent schools
116528	Other Independent School	Independent schools
116529	Other Independent School	Independent schools
116530	Other Independent School	Independent schools
116531	Other Independent School	Independent schools
116532	Other Independent School	Independent schools
116533	Other Independent School	Independent schools
116534	Other Independent School	Independent schools
116535	Other Independent School	Independent schools
116536	Other Independent School	Independent schools
116537	Other Independent School	Independent schools
116538	Other Independent School	Independent schools
116539	Other Independent School	Independent schools
116540	Other Independent School	Independent schools
116541	Other Independent School	Independent schools
116542	Other Independent School	Independent schools
116543	Other Independent School	Independent schools
116544	Other Independent School	Independent schools
116545	Other Independent School	Independent schools
116546	Other Independent School	Independent schools
116547	Other Independent School	Independent schools
116548	Other Independent School	Independent schools
116549	Other Independent Special School	Special schools
116550	Other Independent School	Independent schools
116551	Other Independent School	Independent schools
116552	Other Independent School	Independent schools
116553	Other Independent School	Independent schools
116554	Other Independent School	Independent schools
116555	Other Independent School	Independent schools
116556	Other Independent School	Independent schools
116557	Other Independent School	Independent schools
116558	Other Independent School	Independent schools
116559	Other Independent School	Independent schools
116560	Other Independent School	Independent schools
116561	Other Independent School	Independent schools
116562	Other Independent School	Independent schools
116563	Other Independent School	Independent schools
116564	Other Independent Special School	Special schools
116565	Other Independent Special School	Special schools
116566	Other Independent School	Independent schools
116567	Other Independent School	Independent schools
116568	Other Independent School	Independent schools
116569	Other Independent School	Independent schools
116570	Other Independent School	Independent schools
116572	Other Independent Special School	Special schools
116573	Other Independent School	Independent schools
116574	Other Independent School	Independent schools
116575	Other Independent School	Independent schools
116576	Other Independent School	Independent schools
116577	Other Independent School	Independent schools
116578	Other Independent School	Independent schools
116579	Other Independent School	Independent schools
116580	Other Independent School	Independent schools
116581	Other Independent School	Independent schools
116582	Other Independent School	Independent schools
116583	Other Independent School	Independent schools
116584	Other Independent Special School	Special schools
116585	Other Independent School	Independent schools
116586	Other Independent Special School	Special schools
116587	Other Independent School	Independent schools
116588	Other Independent Special School	Special schools
