Group UID,Group ID,Group Name,Companies House Number,Group Type (code),Group Type
2400,TR02985,Bradfields Academy,08899707,06,Multi-academy trust
2404,TR00276,Bradford Academy Trust,05508735,06,Multi-academy trust
2406,TR00277,Bradford College Education Trust,06772181,06,Multi-academy trust
2408,TR00278,Bradford Diocesan Academies Trust,08258994,06,Multi-academy trust
2413,TR00283,Brampton Manor Trust,07540236,06,Multi-academy trust
2415,TR00284,BRandH Academy Limited,07698718,06,Multi-academy trust
2424,TR02102,Brentwood Academies Trust,07638800,06,Multi-academy trust
2425,TR02671,Brentwood Community Academies Trust,09030028,06,Multi-academy trust
2430,TR00294,Bridge Multi-academy Trust,07736425,06,Multi-academy trust
2434,TR00296,Bridgwater College Trust,08098956,06,Multi-academy trust
2437,TR00298,Bright Futures Educational Trust,07695771,06,Multi-academy trust
2439,TR00299,Bright Tribe Trust,08144578,06,Multi-academy trust
2440,TR00300,Brighter Academy Trust,08557883,06,Multi-academy trust
2442,TR00301,Brighter Futures Academy Trust,08175471,06,Multi-academy trust
2455,TR00313,Broadmere and New Monument Multi Academy Trust,08407871,06,Multi-academy trust
2465,TR02873,Bromley Educational Trust,09028122,06,Multi-academy trust
2468,TR00325,Brook Learning Trust,07368292,06,Multi-academy trust
2471,TR00327,The Brooke Weston Trust,02400784,06,Multi-academy trust
2483,TR00340,Brymore School Trust,07322811,06,Multi-academy trust
2497,TR00353,Burnt Mill Academy Trust,07843166,06,Multi-academy trust
2504,TR02972,Burton and South Derbyshire Education Trust,09142556,06,Multi-academy trust
2507,TR00359,Bury College Education Trust,08769073,06,Multi-academy trust
2508,TR00360,Bury St Edmunds Academy Trust,07697600,06,Multi-academy trust
2510,TR00362,Bushey St James Trust,07895684,06,Multi-academy trust
2514,TR00366,Byrchall High School Academy Trust,08175642,06,Multi-academy trust
2516,TR00367,Cabot Learning Federation,06207590,06,Multi-academy trust
2522,TR02874,Calthorpe Teaching Academy Trust,09064864,06,Multi-academy trust
2526,TR00375,Cambridge Meridian Academies Trust,07552498,06,Multi-academy trust
2528,TR00377,Cambridge Primary Education Trust,08304433,06,Multi-academy trust
2535,TR00383,Canary Wharf College Ltd,07413883,06,Multi-academy trust
2539,TR00387,The Canterbury Academy,07345430,06,Multi-academy trust
2543,TR00389,The Cardinal Hume Academies Trust,08148675,06,Multi-academy trust
2548,TR00392,Carmel Education Trust,07808732,06,Multi-academy trust
2560,TR00402,Castle Community Trust,07344616,06,Multi-academy trust
2563,TR00405,The Castle Partnership Academy Trust,08066451,06,Multi-academy trust
2564,TR00406,The Castle Partnership Trust,07657731,06,Multi-academy trust
2565,TR00407,Castle Phoenix Trust,08331385,06,Multi-academy trust
2567,TR00409,Castle School Education Trust,08397975,06,Multi-academy trust
2572,TR00412,Castleford Academy Trust,07547039,06,Multi-academy trust
2573,TR02825,Castleman Academy Trust,09101036,06,Multi-academy trust
2575,TR00414,Catalyst Academies Trust,08407989,06,Multi-academy trust
2577,TR02732,Catch22 Multi Academies Trust Limited,08299181,06,Multi-academy trust
2579,TR00416,The Catholic Academy Trust in East Berkshire,08561153,06,Multi-academy trust
2580,TR00417,The Catholic Academy Trust in Havant,07721932,06,Multi-academy trust
2581,TR00418,The Catholic Academy Trust in South Hampshire,07723349,06,Multi-academy trust
2582,TR00419,The Catholic Academy Trust in Southampton,07714121,06,Multi-academy trust
2584,TR00420,Rutland And District Schools' Federation,07552631,06,Multi-academy trust
2592,TR01963,Central Academy Trust,07685645,06,Multi-academy trust
2594,TR00427,Central Learning Partnership Trust,07827368,06,Multi-academy trust
2597,TR00429,CFBT Schools Trust,07468210,06,Multi-academy trust
2605,TR00436,Change Schools Partnership,08182064,06,Multi-academy trust
2609,TR00439,Chapel Street Community Schools Trust,07885963,06,Multi-academy trust
2611,TR00440,Charles Darwin Academy Trust,07554396,06,Multi-academy trust
2622,TR00449,Chatham & Clarendon Grammar School,07455452,06,Multi-academy trust
2627,TR00453,"Laurus Trust, The",07907463,06,Multi-academy trust
2639,TR00465,Cheney School Academy Trust,08319810,06,Multi-academy trust
2643,TR02701,Cherry Tree Academy Trust Marham,09106277,06,Multi-academy trust
2644,TR00467,River Learning Trust,07966500,06,Multi-academy trust
2646,TR00469,"Chester Catholic Academies Partnership, The",08375925,06,Multi-academy trust
2647,TR00470,Chester Diocesan Academies Trust,08451787,06,Multi-academy trust
2650,TR00472,Chesterton Academy Trust,08786812,06,Multi-academy trust
2657,TR00478,Children of Success Schools Trust,08438964,06,Multi-academy trust
2658,TR03029,Children's Academy Trust Ltd,09061804,06,Multi-academy trust
2659,TR01324,Chilford Hundred Education Trust,07482650,06,Multi-academy trust
2661,TR00480,Chiltern Learning Trust,07559901,06,Multi-academy trust
2662,TR00481,Chingford Academies Trust,08179498,06,Multi-academy trust
